ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
511090.SH,20240903,115.537,115.538,115.7,115.4,115.55,0.013,0.0113,59972.0,693137.986,1.026,111.203,111.359,111.07,111.214
511090.SH,20240904,115.55,115.717,116.021,115.708,115.946,0.396,0.3427,92579.9,1072987.649,1.026,111.375,111.667,111.366,111.595
511090.SH,20240905,115.946,116.25,116.489,116.1,116.372,0.426,0.3674,92209.0,1072725.985,1.026,111.888,112.118,111.744,112.005
511090.SH,20240906,116.372,116.33,116.527,116.12,116.457,0.085,0.073,81235.0,945463.434,1.026,111.965,112.155,111.763,112.087
511090.SH,20240909,116.457,116.37,116.852,116.35,116.845,0.388,0.3332,81384.0,949749.013,1.026,112.003,112.467,111.984,112.461
511090.SH,20240910,116.845,116.845,117.159,116.832,117.045,0.2,0.1712,123379.0,1443863.44,1.026,112.461,112.763,112.448,112.653
511090.SH,20240911,117.045,117.26,117.481,117.22,117.447,0.402,0.3435,91533.93,1074096.837,1.026,112.86,113.073,112.822,113.04
511090.SH,20240912,117.447,117.475,117.789,117.224,117.496,0.049,0.0417,124943.0,1468621.225,1.026,113.067,113.369,112.825,113.087
511090.SH,20240913,117.496,117.93,118.366,117.6,118.362,0.866,0.737,126781.0,1497596.715,1.026,113.505,113.924,113.187,113.921
511090.SH,20240918,118.362,118.822,119.75,118.822,119.727,1.365,1.1532,103609.0,1237179.361,1.026,114.363,115.257,114.363,115.234
511090.SH,20240919,119.727,120.3,120.45,118.934,119.095,-0.632,-0.5279,178509.2,2138863.823,1.026,115.786,115.93,114.471,114.626
511090.SH,20240920,119.095,119.32,120.115,119.32,120.094,0.999,0.8388,176654.0,2118518.464,1.026,114.843,115.608,114.843,115.588
511090.SH,20240923,120.094,120.251,120.763,120.226,120.543,0.449,0.3739,144704.2,1743001.078,1.026,115.739,116.232,115.715,116.02
511090.SH,20240924,120.543,121.01,121.047,118.9,119.503,-1.04,-0.8628,273411.0,3279091.059,1.026,116.469,116.505,114.438,115.019
511090.SH,20240925,119.503,118.82,119.985,118.32,119.949,0.446,0.3732,240085.0,2866174.696,1.026,114.361,115.483,113.88,115.448
511090.SH,20240926,119.949,120.203,120.48,118.866,118.946,-1.003,-0.8362,303287.1,3631018.965,1.026,115.693,115.959,114.406,114.483
511090.SH,20240927,118.946,117.6,117.6,115.161,115.529,-3.417,-2.8727,124388.38,1453881.983,1.026,113.187,113.187,110.84,111.194
511090.SH,20240930,115.529,113.5,115.431,112.963,115.1,-0.429,-0.3713,286327.47,3285025.409,1.026,109.241,111.1,108.724,110.781
