date,name,ret_3,vol_3,slope_3,r2_3,mdd_3,sxr_3,sharp_3,ret_5,vol_5,slope_5,r2_5,mdd_5,sxr_5,sharp_5,ret_10,vol_10,slope_10,r2_10,mdd_10,sxr_10,sharp_10,ret_20,vol_20,slope_20,r2_20,mdd_20,sxr_20,sharp_20,ret_23,vol_23,slope_23,r2_23,mdd_23,sxr_23,sharp_23,ret_30,vol_30,slope_30,r2_30,mdd_30,sxr_30,sharp_30,ret_60,vol_60,slope_60,r2_60,mdd_60,sxr_60,sharp_60,ret_120,vol_120,slope_120,r2_120,mdd_120,sxr_120,sharp_120,target,rank_ret_3,rank_vol_3,rank_slope_3,rank_r2_3,rank_mdd_3,rank_sxr_3,rank_sharp_3,rank_ret_5,rank_vol_5,rank_slope_5,rank_r2_5,rank_mdd_5,rank_sxr_5,rank_sharp_5,rank_ret_10,rank_vol_10,rank_slope_10,rank_r2_10,rank_mdd_10,rank_sxr_10,rank_sharp_10,rank_ret_20,rank_vol_20,rank_slope_20,rank_r2_20,rank_mdd_20,rank_sxr_20,rank_sharp_20,rank_ret_23,rank_vol_23,rank_slope_23,rank_r2_23,rank_mdd_23,rank_sxr_23,rank_sharp_23,rank_ret_30,rank_vol_30,rank_slope_30,rank_r2_30,rank_mdd_30,rank_sxr_30,rank_sharp_30,rank_ret_60,rank_vol_60,rank_slope_60,rank_r2_60,rank_mdd_60,rank_sxr_60,rank_sharp_60,rank_ret_120,rank_vol_120,rank_slope_120,rank_r2_120,rank_mdd_120,rank_sxr_120,rank_sharp_120,market_max_slope,market_max_ret
2015-04-13,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0007437136798268788,0.010979729729729826
2015-04-14,黄金ETF,-0.004612159329140275,0.10075936906118396,-0.0020973154362415865,0.24999999999998668,-0.008354218880534676,-0.0005243288590603686,-0.018935783528010352,-0.01371001246364767,0.09436576548244953,-0.0024501661129567765,0.5338957055214613,-0.014119601328903575,-0.0013081331655218345,-0.023476722482994716,-0.0025210084033612246,0.10334237327263425,0.0003791080714157663,0.035164101279807514,-0.014119601328903575,1.3330994619256504e-05,0.003344804422824799,0.0,0.10804833342859518,0.0007767510379000906,0.3309984210057789,-0.016625103906899433,0.0002571033670595299,0.006579940735630377,0.0021105951878428453,0.10442614234148764,0.0006677875610715233,0.3479392094268239,-0.016625103906899433,0.0002323494760642927,0.005835970237278572,-0.04466800804828963,0.1133643137441793,-0.0003965131729936386,0.07869842674413685,-0.05107417916497766,-3.120496289792513e-05,-0.003214164298890264,-0.0341741253051262,0.14268332175955395,-0.001644134477302646,0.694124960771836,-0.10648854961832058,-0.0011412347795613223,-0.010768265049222814,-0.029435813573180702,0.15491847654587812,0.00024344818192792805,0.06357378104521971,-0.10648854961832058,1.547692141374291e-05,0.0014761728766043022,1,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0006677875610715233,0.0021105951878428453
2015-04-14,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0006677875610715233,0.0021105951878428453
2015-04-15,黄金ETF,-0.006711409395973145,0.09968784622409346,-0.005430242272347561,0.9118705035971246,-0.010860484544695173,-0.004951677755539965,-0.04950632599033367,-0.01661129568106312,0.09038935622021115,-0.001844863731656155,0.4699029126213402,-0.010860484544695173,-0.0008669068408947018,-0.01837708499304763,0.0008453085376161074,0.09950860045244772,-0.0006901575859821399,0.12245515017134567,-0.016611295681063138,-8.451335083333636e-05,-0.006302314002102779,0.004240882103477395,0.10555795381217581,0.0005466464109868863,0.17088627607180418,-0.016625103906899433,9.341436950156598e-05,0.004730495763843204,-0.001686340640809414,0.10470059957736957,0.0005814080127071968,0.25821857512172786,-0.016625103906899433,0.0001501303486056078,0.0050689186878662895,-0.04012971220105399,0.11210410483454068,-0.00023359740455370162,0.03475484501137094,-0.04798698657991048,-8.118641590322415e-06,-0.0019131003406498241,-0.041683528935653635,0.14221799389391837,-0.0017032531565157219,0.7274785912122375,-0.10648854961832058,-0.001239080206779854,-0.01118956512922335,-0.03307472437729686,0.15494068883378417,0.00023914321846061376,0.06113603191372363,-0.10648854961832058,1.4620267435758666e-05,0.0014498740132072915,1,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0005814080127071968,-0.001686340640809414
2015-04-15,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0005814080127071968,-0.001686340640809414
2015-04-16,黄金ETF,-0.003341687552213868,0.12816858346305982,0.0025273799494524014,0.4285714285714053,-0.002527379949452497,0.0010831628354795418,0.018292001597657773,0.00041928721174011585,0.09775490196210383,-0.0009228187919463007,0.11501901140682769,-0.010860484544695173,-0.0001061417051573065,-0.008564053932978804,0.006326444538169662,0.10620280300299305,-0.0012009961947383658,0.45687412042239084,-0.016611295681063138,-0.0005487040801017293,-0.010335346168090556,0.019222554463904196,0.10479788190921756,0.00029686997858590345,0.07048960242957814,-0.016625103906899433,2.092624676379771e-05,0.002586023136042431,0.011445527766002606,0.10587980085640962,0.0005073906716703655,0.21049514403572078,-0.016625103906899433,0.0001068032725156347,0.004378594612007399,-0.029686864579097194,0.11487623496628481,-2.6798071083928006e-05,0.0006137520879060387,-0.044099632503062335,-1.6447372079615258e-08,-0.00021459704555605146,-0.032441200324412,0.1431912978959078,-0.0017510279617792557,0.7571433716021552,-0.10648854961832058,-0.0013257792147511954,-0.011430335703331298,-0.025326797385620825,0.15535572343315437,0.00023657902786208086,0.06043350283419413,-0.10648854961832058,1.4297299350813955e-05,0.0014307277846219743,1,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0005073906716703655,0.011445527766002606
2015-04-16,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0005073906716703655,0.011445527766002606
2015-04-17,黄金ETF,0.008845829823083351,0.08118724050967693,0.005701013513513595,0.9642857142857116,0.0,0.005497405888030951,0.06251986003358216,0.004614093959731669,0.10083488714463518,0.0005847953216374103,0.03383977900551982,-0.010860484544695173,1.9789344447671848e-05,0.005276274796709771,-0.0008343763037128582,0.0918029429386724,-0.0008690584777541183,0.24250875533100802,-0.016611295681063138,-0.00021075428975001175,-0.008536673426795255,0.013542107490478239,0.10061899502651983,0.00022581943388633378,0.04389520033981964,-0.016625103906899433,9.912389291065278e-06,0.0020414164297207346,0.008845829823083351,0.1045831362888274,0.0005456154643011569,0.23502899867235016,-0.016625103906899433,0.00012823545623485034,0.0047617431497584,-0.02204981625153113,0.11529094757423501,0.00019054473080882032,0.04228036542278091,-0.04018040180401798,8.056300847982342e-06,0.0015208180199604794,-0.027213647441104882,0.14343879156096226,-0.0017511593658197792,0.7850696924109589,-0.10648854961832058,-0.001374782144686704,-0.011412755197071738,-0.026818366517675662,0.15525683505013566,0.00023889251418072853,0.061849306073944565,-0.10648854961832058,1.4775336228338022e-05,0.0014455832589814106,0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0005456154643011569,0.008845829823083351
2015-04-17,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0005456154643011569,0.008845829823083351
2015-04-20,黄金ETF,0.020692567567567544,0.0441849801916909,0.006496227996647061,0.9446264744429862,0.0,0.006136508949650537,0.11988982876186854,0.009607351712614731,0.11606782225994032,0.0047598989048019975,0.8569798657718056,-0.002527379949452497,0.00407913752452458,0.0377566520899165,0.010451505016722429,0.10176437291994708,-0.00016114615200614146,0.005726204655895462,-0.016611295681063138,-9.22755845897205e-07,-0.0014418382870681414,0.026762956669498683,0.10344297256646054,0.00020459742447947958,0.03836962294211088,-0.016625103906899433,7.850326032204638e-06,0.0018035266517687223,0.02502120441051736,0.10540514146003797,0.0005968531403592595,0.25652198903601253,-0.016625103906899433,0.00015310595472734761,0.005171807189941667,-0.009020090200902109,0.1182995078756644,0.00045713785513972746,0.2847736827784294,-0.020092088740058436,0.00013018083054557237,0.0035630522884214154,-0.04011119936457508,0.1366148338448754,-0.0017035853680950413,0.7760224072303599,-0.10648854961832058,-0.0013220204182715326,-0.011619461165147213,-0.01907467532467544,0.1558369375533802,0.0002474881947593491,0.06567908822770097,-0.10648854961832058,1.6254798978913728e-05,0.0014923586892678035,0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.0005968531403592595,0.02502120441051736
2015-04-20,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0005968531403592595,0.02502120441051736
